,rat_id,study_day,condition,treatment,trial_num,total_sleep_duration,total_awake_duration,total_nrem_duration,total_rem_duration,counts_wake,counts_nrem,counts_rem,wake_normalized,nrem_normalized,rem_normalized,nrem_percentage,rem_percentage
19,5,2,OR,0,1,1244.0,1440.0,1104.0,89.0,7,6,1,0.5365126676602087,0.4113263785394933,0.03315946348733234,0.887459807073955,0.07154340836012862
20,5,1,OR,1,5,2330.0,8418.0,1924.0,314.0,16,17,5,0.7832154819501302,0.17901004838109416,0.029214737625604763,0.8257510729613734,0.13476394849785409
21,5,1,OR,1,1,661.0,2029.0,661.0,0.0,6,5,0,0.754275092936803,0.24572490706319702,0.0,1.0,0.0
22,5,1,OR,1,3,1406.0,1255.0,1268.0,68.0,8,11,2,0.47162720781661027,0.47651258925216083,0.025554302893649003,0.9018492176386913,0.04836415362731152
23,5,1,OR,1,2,996.0,1692.0,996.0,0.0,6,6,0,0.6294642857142857,0.3705357142857143,0.0,1.0,0.0
24,5,1,OR,1,4,1826.0,809.0,1501.0,244.0,12,14,4,0.30702087286527513,0.569639468690702,0.09259962049335864,0.8220153340635268,0.13362541073384446
25,5,3,OD,0,4,2147.0,522.0,1899.0,197.0,17,16,3,0.1955788684900712,0.7115024353690521,0.07381041588609966,0.8844899860270145,0.09175593851886353
26,5,3,OD,0,1,0.0,3592.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
27,5,3,OD,0,3,1660.0,1034.0,1466.0,112.0,5,4,1,0.3838158871566444,0.5441722345953972,0.041573867854491464,0.8831325301204819,0.06746987951807229
28,5,3,OD,0,2,1488.0,1209.0,1488.0,0.0,5,4,0,0.4482758620689655,0.5517241379310345,0.0,1.0,0.0
29,5,3,OD,0,5,1616.0,8803.0,1468.0,77.0,11,7,1,0.8448987426816393,0.14089643919761974,0.007390344562817929,0.9084158415841584,0.04764851485148515
30,5,14,OR,0,5,1590.0,9195.0,1462.0,71.0,10,9,1,0.8525730180806675,0.13555864626796477,0.006583217431617988,0.919496855345912,0.04465408805031446
31,5,14,OR,0,1,612.0,2080.0,583.0,0.0,4,3,0,0.7726597325408618,0.21656760772659733,0.0,0.9526143790849673,0.0
32,5,14,OR,0,4,1961.0,720.0,1695.0,249.0,6,7,3,0.26855650876538606,0.6322267810518464,0.09287579261469601,0.8643549209586946,0.12697603263641
33,5,14,OR,0,2,1708.0,973.0,1587.0,99.0,11,10,1,0.3629242819843342,0.5919433047370384,0.03692651995524058,0.9291569086651054,0.057962529274004686
34,5,14,OR,0,3,1656.0,1028.0,1438.0,200.0,7,6,2,0.3830104321907601,0.5357675111773472,0.07451564828614009,0.8683574879227053,0.12077294685990338
35,5,4,HC,0,2,1883.0,1001.0,1638.0,183.0,11,13,3,0.3470873786407767,0.5679611650485437,0.06345353675450763,0.8698884758364313,0.09718534253850239
36,5,4,HC,0,5,6770.0,3882.0,5074.0,1240.0,26,36,16,0.3644386030792339,0.47634247089748405,0.11641006383777694,0.7494830132939438,0.1831610044313146
37,5,4,HC,0,4,2331.0,327.0,1973.0,243.0,6,9,4,0.12302483069977427,0.7422874341610233,0.09142212189616253,0.8464178464178465,0.10424710424710425
38,5,4,HC,0,1,1926.0,741.0,1637.0,243.0,12,12,2,0.2778402699662542,0.613798275215598,0.09111361079865017,0.8499480789200415,0.1261682242990654
39,5,4,HC,0,3,1925.0,741.0,1510.0,350.0,5,9,3,0.2779444861215304,0.5663915978994749,0.1312828207051763,0.7844155844155845,0.18181818181818182
40,5,5,OD,1,5,5473.0,5180.0,4440.0,712.0,45,52,15,0.48624800525673517,0.416784004505773,0.06683563315497981,0.8112552530604787,0.13009318472501372
41,5,5,OD,1,1,1153.0,1526.0,1153.0,0.0,7,7,0,0.5696155281821575,0.43038447181784245,0.0,1.0,0.0
42,5,5,OD,1,2,1548.0,1118.0,1411.0,94.0,8,9,2,0.41935483870967744,0.5292573143285821,0.035258814703675916,0.911498708010336,0.060723514211886306
43,5,5,OD,1,3,2123.0,547.0,1766.0,197.0,11,10,4,0.20486891385767791,0.6614232209737828,0.07378277153558052,0.8318417333961375,0.09279321714554875
