rat_id,study_day,condition,treatment,trial_num,total_rem_duration,total_sleep_duration,percentage_from_sleep,counts_rem
3,1,OR,1,5,577.0,5538.0,0.10418923799205489,8
3,1,OR,1,3,0.0,693.0,0.0,0
3,1,OR,1,1,0.0,668.0,0.0,0
3,1,OR,1,2,0.0,284.0,0.0,0
3,1,OR,1,4,78.0,1594.0,0.04893350062735257,1
3,5,HC,0,2,0.0,283.0,0.0,0
3,5,HC,0,1,45.0,981.0,0.045871559633027525,1
3,5,HC,0,5,865.0,6866.0,0.12598310515584038,11
3,5,HC,0,3,0.0,0.0,,0
3,5,HC,0,4,0.0,0.0,,0
3,3,OR,0,5,921.0,5320.0,0.1731203007518797,12
3,3,OR,0,4,137.0,1931.0,0.0709476954945624,2
3,3,OR,0,3,45.0,1044.0,0.04310344827586207,2
3,3,OR,0,2,68.0,1156.0,0.058823529411764705,1
3,3,OR,0,1,0.0,0.0,,0
3,16,OR,1,5,440.0,4213.0,0.10443864229765012,7
3,16,OR,1,2,0.0,0.0,,0
3,16,OR,1,3,167.0,1513.0,0.11037673496364839,3
3,16,OR,1,1,0.0,0.0,,0
3,16,OR,1,4,94.0,1506.0,0.06241699867197875,1
4,4,OD,1,5,1110.0,6253.0,0.17751479289940827,11
4,4,OD,1,1,0.0,171.0,0.0,0
4,4,OD,1,3,15.0,1226.0,0.012234910277324634,1
4,4,OD,1,4,0.0,559.0,0.0,0
4,4,OD,1,2,0.0,904.0,0.0,0
4,5,HC,0,4,109.0,890.0,0.12247191011235956,1
4,5,HC,0,5,375.0,3171.0,0.11825922421948912,5
4,5,HC,0,2,102.0,771.0,0.13229571984435798,1
4,5,HC,0,3,0.0,0.0,,0
4,5,HC,0,1,0.0,0.0,,0
4,17,HC,0,1,0.0,322.0,0.0,0
4,17,HC,0,5,792.0,4826.0,0.1641110650642354,8
4,17,HC,0,4,0.0,325.0,0.0,0
4,17,HC,0,3,94.0,1194.0,0.07872696817420435,1
4,17,HC,0,2,0.0,354.0,0.0,0
4,9,HC,0,4,353.0,1788.0,0.19742729306487697,3
4,9,HC,0,2,0.0,609.0,0.0,0
4,9,HC,0,5,667.0,4806.0,0.13878485226799833,9
4,9,HC,0,1,0.0,0.0,,0
4,9,HC,0,3,123.0,1617.0,0.07606679035250463,1
4,3,OR,1,2,0.0,634.0,0.0,0
4,3,OR,1,5,724.0,5177.0,0.13984933359088275,8
4,3,OR,1,3,279.0,1800.0,0.155,2
4,3,OR,1,1,0.0,301.0,0.0,0
4,3,OR,1,4,145.0,1944.0,0.07458847736625514,1
4,7,HC,1,3,0.0,97.0,0.0,0
4,7,HC,1,4,124.0,1495.0,0.08294314381270904,1
4,7,HC,1,5,997.0,5418.0,0.18401624215577703,11
4,7,HC,1,1,0.0,482.0,0.0,0
4,7,HC,1,2,0.0,858.0,0.0,0
4,2,HC,0,3,18.0,937.0,0.0192102454642476,1
4,2,HC,0,2,142.0,667.0,0.2128935532233883,2
4,2,HC,0,4,0.0,119.0,0.0,0
4,2,HC,0,5,179.0,2006.0,0.08923230309072781,2
4,2,HC,0,1,57.0,951.0,0.05993690851735016,1
4,6,OD,0,4,131.0,1251.0,0.10471622701838529,3
4,6,OD,0,3,243.0,2082.0,0.11671469740634005,3
4,6,OD,0,5,876.0,4886.0,0.17928776094965207,10
4,6,OD,0,2,113.0,1504.0,0.07513297872340426,1
4,6,OD,0,1,0.0,0.0,,0
4,8,HC,1,1,0.0,127.0,0.0,0
4,8,HC,1,5,785.0,4958.0,0.15832997176280758,9
4,8,HC,1,2,0.0,167.0,0.0,0
4,8,HC,1,4,212.0,1745.0,0.12148997134670488,3
4,8,HC,1,3,0.0,0.0,,0
4,16,OR,0,3,0.0,758.0,0.0,0
4,16,OR,0,2,0.0,332.0,0.0,0
4,16,OR,0,5,725.0,4987.0,0.14537798275516342,12
4,16,OR,0,1,0.0,0.0,,0
4,16,OR,0,4,85.0,1625.0,0.052307692307692305,2
4,1,OR,0,1,0.0,38.0,0.0,0
4,1,OR,0,5,785.0,5435.0,0.14443422263109476,11
4,1,OR,0,3,0.0,426.0,0.0,0
4,1,OR,0,4,0.0,1069.0,0.0,0
4,1,OR,0,2,0.0,204.0,0.0,0
9,4,CON,2,4,327.0,2102.0,0.1555661274976213,5
9,4,CON,2,3,307.0,2178.0,0.14095500459136823,3
9,4,CON,2,2,251.0,1630.0,0.1539877300613497,3
9,4,CON,2,5,1025.0,5266.0,0.19464489175845043,12
9,4,CON,2,1,0.0,746.0,0.0,0
4,3,CON,3,1,108.0,1832.0,0.05895196506550218,3
4,3,CON,3,2,305.0,1769.0,0.1724137931034483,8
4,3,CON,3,3,330.0,2244.0,0.14705882352941177,7
4,3,CON,3,4,275.0,1951.0,0.14095335725269093,7
4,3,CON,3,5,1198.0,6253.0,0.1915880377418839,27
3,5,CON,3,4,390.0,2046.0,0.1906158357771261,4
3,5,CON,3,1,99.0,1321.0,0.07494322482967448,3
3,5,CON,3,3,422.0,1837.0,0.22972237343494828,6
3,5,CON,3,5,805.0,4393.0,0.18324607329842932,14
3,5,CON,3,2,201.0,1534.0,0.13102998696219034,2
1,1,CON,2,4,214.0,2040.0,0.10490196078431373,5
1,1,CON,2,3,0.0,1564.0,0.0,0
1,1,CON,2,2,7.0,685.0,0.010218978102189781,1
1,1,CON,2,1,0.0,0.0,,0
1,1,CON,2,5,276.0,4230.0,0.06524822695035461,7
8,4,CON,3,5,970.0,4137.0,0.23446942228668116,12
8,4,CON,3,3,196.0,1890.0,0.1037037037037037,3
8,4,CON,3,4,394.0,2067.0,0.19061441702951137,6
8,4,CON,3,1,22.0,1087.0,0.020239190432382703,1
8,4,CON,3,2,380.0,1478.0,0.2571041948579161,3
6,3,CON,2,3,154.0,1373.0,0.11216314639475601,1
6,3,CON,2,5,1247.0,7195.0,0.17331480194579568,18
6,3,CON,2,1,0.0,0.0,,0
6,3,CON,2,4,119.0,1520.0,0.07828947368421052,2
6,3,CON,2,2,0.0,331.0,0.0,0
7,3,CON,3,4,424.0,1969.0,0.21533773489080751,3
7,3,CON,3,2,92.0,1473.0,0.062457569585879155,1
7,3,CON,3,1,0.0,159.0,0.0,0
7,3,CON,3,3,200.0,1495.0,0.13377926421404682,3
7,3,CON,3,5,789.0,4038.0,0.19539375928677563,11
2,3,CON,2,1,148.0,1443.0,0.10256410256410256,4
