,rat_id,study_day,condition,treatment,trial_num,total_sleep_duration,total_awake_duration,total_nrem_duration,total_rem_duration,counts_wake,counts_nrem,counts_rem,wake_normalized,nrem_normalized,rem_normalized,nrem_percentage,rem_percentage
14,5,15,HC,0,2.0,108.0,2589.0,108.0,0.0,3,2,0,0.9599555061179088,0.04004449388209121,0.0,1.0,0.0
15,5,15,HC,0,1.0,103.0,2617.0,103.0,0.0,3,1,0,0.9621323529411765,0.03786764705882353,0.0,1.0,0.0
16,5,16,OR,1,1.0,606.0,2084.0,606.0,0.0,6,5,0,0.774721189591078,0.22527881040892192,0.0,1.0,0.0
17,5,16,OR,1,5.1,2069.0,616.0,1727.0,252.0,4,6,2,0.22942271880819368,0.6432029795158287,0.09385474860335195,0.8347027549540841,0.12179797003383278
18,5,16,OR,1,5.2,1678.0,1009.0,1405.0,254.0,5,5,2,0.3755117231112765,0.5228879791589133,0.0945292147376256,0.8373063170441001,0.15137067938021453
19,5,16,OR,1,5.3,1980.0,712.0,1859.0,118.0,3,3,1,0.26448736998514116,0.6905646359583952,0.043833580980683504,0.9388888888888889,0.0595959595959596
20,5,16,OR,1,5.4,1839.0,839.0,1624.0,139.0,7,10,2,0.31329350261389094,0.6064227035100822,0.05190440627333831,0.8830886351277868,0.07558455682436106
21,5,16,OR,1,2.0,52.0,2642.0,52.0,0.0,3,2,0,0.9806978470675576,0.019302152932442463,0.0,1.0,0.0
22,5,16,OR,1,3.0,196.0,495.0,196.0,0.0,4,4,0,0.7163531114327062,0.28364688856729375,0.0,1.0,0.0
23,5,16,OR,1,4.0,1620.0,1065.0,1505.0,90.0,6,5,1,0.39664804469273746,0.5605214152700186,0.0335195530726257,0.9290123456790124,0.05555555555555555
24,5,2,OR,0,4.0,1662.0,1025.0,1504.0,120.0,5,4,2,0.38146631931522146,0.5597320431708225,0.0446594715295869,0.9049338146811071,0.07220216606498195
25,5,2,OR,0,2.0,1838.0,829.0,1635.0,127.0,12,11,2,0.31083614548181476,0.6130483689538808,0.047619047619047616,0.8895538628944505,0.0690968443960827
26,5,2,OR,0,5.1,2243.0,418.0,1885.0,291.0,5,7,3,0.1570838030815483,0.708380308154829,0.10935738444193913,0.8403923316986179,0.12973695942933572
27,5,2,OR,0,5.2,209.0,2158.0,115.0,94.0,3,3,1,0.9117025771018167,0.04858470637938318,0.03971271651880017,0.5502392344497608,0.44976076555023925
28,5,2,OR,0,5.3,0.0,266.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
29,5,2,OR,0,5.4,0.0,0.0,0.0,0.0,0,0,0,,,,,
30,5,2,OR,0,3.0,1355.0,989.0,1128.0,188.0,6,5,3,0.42192832764505117,0.4812286689419795,0.08020477815699659,0.8324723247232473,0.13874538745387455
31,5,2,OR,0,1.0,1244.0,1440.0,1104.0,89.0,7,6,1,0.5365126676602087,0.4113263785394933,0.03315946348733234,0.887459807073955,0.07154340836012862
32,5,1,OR,1,5.1,1650.0,1020.0,1402.0,182.0,8,10,3,0.38202247191011235,0.5250936329588015,0.06816479400749063,0.8496969696969697,0.1103030303030303
33,5,1,OR,1,5.2,263.0,2429.0,105.0,132.0,2,2,2,0.9023031203566122,0.03900445765230312,0.04903417533432392,0.39923954372623577,0.5019011406844106
34,5,1,OR,1,5.3,416.0,2267.0,416.0,0.0,7,6,0,0.8449496831904585,0.15505031680954157,0.0,1.0,0.0
35,5,1,OR,1,5.4,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
36,5,1,OR,1,1.0,661.0,2029.0,661.0,0.0,6,5,0,0.754275092936803,0.24572490706319702,0.0,1.0,0.0
37,5,1,OR,1,3.0,1406.0,1255.0,1268.0,68.0,8,11,2,0.47162720781661027,0.47651258925216083,0.025554302893649003,0.9018492176386913,0.04836415362731152
38,5,1,OR,1,2.0,996.0,1692.0,996.0,0.0,6,6,0,0.6294642857142857,0.3705357142857143,0.0,1.0,0.0
39,5,1,OR,1,4.0,1826.0,809.0,1501.0,244.0,12,14,4,0.30702087286527513,0.569639468690702,0.09259962049335864,0.8220153340635268,0.13362541073384446
40,5,3,OD,0,4.0,2147.0,522.0,1899.0,197.0,17,16,3,0.1955788684900712,0.7115024353690521,0.07381041588609966,0.8844899860270145,0.09175593851886353
41,5,3,OD,0,1.0,0.0,3592.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
42,5,3,OD,0,3.0,1660.0,1034.0,1466.0,112.0,5,4,1,0.3838158871566444,0.5441722345953972,0.041573867854491464,0.8831325301204819,0.06746987951807229
43,5,3,OD,0,2.0,1488.0,1209.0,1488.0,0.0,5,4,0,0.4482758620689655,0.5517241379310345,0.0,1.0,0.0
44,5,3,OD,0,5.1,1113.0,1577.0,965.0,77.0,4,3,1,0.5862453531598513,0.3587360594795539,0.02862453531598513,0.867026055705301,0.06918238993710692
45,5,3,OD,0,5.2,346.0,1986.0,346.0,0.0,6,2,0,0.8516295025728988,0.1483704974271012,0.0,1.0,0.0
46,5,3,OD,0,5.3,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
47,5,3,OD,0,5.4,157.0,2538.0,157.0,0.0,3,2,0,0.9417439703153989,0.05825602968460111,0.0,1.0,0.0
48,5,14,OR,0,5.1,1309.0,1375.0,1181.0,71.0,7,6,1,0.5122950819672131,0.44001490312965724,0.02645305514157973,0.9022154316271963,0.054239877769289534
49,5,14,OR,0,5.2,218.0,2477.0,218.0,0.0,3,2,0,0.9191094619666048,0.08089053803339517,0.0,1.0,0.0
50,5,14,OR,0,5.3,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
51,5,14,OR,0,5.4,63.0,2634.0,63.0,0.0,2,1,0,0.9766407119021134,0.02335928809788654,0.0,1.0,0.0
52,5,14,OR,0,1.0,612.0,2080.0,583.0,0.0,4,3,0,0.7726597325408618,0.21656760772659733,0.0,0.9526143790849673,0.0
53,5,14,OR,0,4.0,1961.0,720.0,1695.0,249.0,6,7,3,0.26855650876538606,0.6322267810518464,0.09287579261469601,0.8643549209586946,0.12697603263641
54,5,14,OR,0,2.0,1708.0,973.0,1587.0,99.0,11,10,1,0.3629242819843342,0.5919433047370384,0.03692651995524058,0.9291569086651054,0.057962529274004686
55,5,14,OR,0,3.0,1656.0,1028.0,1438.0,200.0,7,6,2,0.3830104321907601,0.5357675111773472,0.07451564828614009,0.8683574879227053,0.12077294685990338
56,5,4,HC,0,2.0,1883.0,1001.0,1638.0,183.0,11,13,3,0.3470873786407767,0.5679611650485437,0.06345353675450763,0.8698884758364313,0.09718534253850239
57,5,4,HC,0,5.1,1848.0,828.0,1305.0,419.0,7,7,5,0.3094170403587444,0.4876681614349776,0.15657698056801195,0.7061688311688312,0.22673160173160173
58,5,4,HC,0,5.2,2178.0,457.0,1631.0,449.0,9,15,4,0.17343453510436432,0.6189753320683112,0.17039848197343455,0.748852157943067,0.2061524334251607
59,5,4,HC,0,5.3,2061.0,585.0,1646.0,228.0,9,14,5,0.22108843537414966,0.6220710506424793,0.08616780045351474,0.7986414361960213,0.11062590975254731
60,5,4,HC,0,5.4,681.0,2011.0,490.0,144.0,2,2,2,0.7470282317979198,0.18202080237741455,0.05349182763744428,0.7195301027900147,0.21145374449339208
61,5,4,HC,0,4.0,2331.0,327.0,1973.0,243.0,6,9,4,0.12302483069977427,0.7422874341610233,0.09142212189616253,0.8464178464178465,0.10424710424710425
62,5,4,HC,0,1.0,1926.0,741.0,1637.0,243.0,12,12,2,0.2778402699662542,0.613798275215598,0.09111361079865017,0.8499480789200415,0.1261682242990654
63,5,4,HC,0,3.0,1925.0,741.0,1510.0,350.0,5,9,3,0.2779444861215304,0.5663915978994749,0.1312828207051763,0.7844155844155845,0.18181818181818182
64,5,5,OD,1,5.1,2089.0,564.0,1640.0,355.0,12,14,5,0.2125895212966453,0.6181681115718055,0.13381078024877496,0.7850646242221159,0.16993776926759216
65,5,5,OD,1,5.2,1066.0,1611.0,852.0,164.0,5,9,3,0.6017930519237953,0.31826671647366456,0.06126260739633919,0.799249530956848,0.15384615384615385
66,5,5,OD,1,5.3,1393.0,1250.0,1120.0,153.0,22,22,5,0.4729474082482028,0.42376087779038973,0.05788876276958002,0.8040201005025126,0.10983488872936109
67,5,5,OD,1,5.4,922.0,1755.0,826.0,40.0,6,9,2,0.6555846096376541,0.30855435188644004,0.014942099364960777,0.89587852494577,0.04338394793926247
68,5,5,OD,1,1.0,1153.0,1526.0,1153.0,0.0,7,7,0,0.5696155281821575,0.43038447181784245,0.0,1.0,0.0
69,5,5,OD,1,2.0,1548.0,1118.0,1411.0,94.0,8,9,2,0.41935483870967744,0.5292573143285821,0.035258814703675916,0.911498708010336,0.060723514211886306
70,5,5,OD,1,3.0,2123.0,547.0,1766.0,197.0,11,10,4,0.20486891385767791,0.6614232209737828,0.07378277153558052,0.8318417333961375,0.09279321714554875
71,5,5,OD,1,4.0,2168.0,502.0,1826.0,171.0,10,9,2,0.18801498127340824,0.6838951310861423,0.06404494382022471,0.8422509225092251,0.07887453874538745
72,5,17,HC,1,1.0,26.0,2670.0,26.0,0.0,2,1,0,0.9903560830860534,0.009643916913946587,0.0,1.0,0.0
73,5,17,HC,1,2.0,287.0,2410.0,287.0,0.0,4,3,0,0.8935854653318502,0.10641453466814979,0.0,1.0,0.0
74,5,17,HC,1,4.0,463.0,2228.0,463.0,0.0,5,5,0,0.8279450018580453,0.17205499814195466,0.0,1.0,0.0
75,5,17,HC,1,5.1,630.0,2063.0,630.0,0.0,4,2,0,0.7660601559598961,0.23393984404010398,0.0,1.0,0.0
76,5,17,HC,1,5.2,2347.0,339.0,2003.0,258.0,4,4,2,0.12620997766195086,0.7457185405807892,0.0960536113179449,0.8534299105240732,0.10992756710694504
77,5,17,HC,1,5.3,2245.0,436.0,1942.0,212.0,6,7,3,0.16262588586348378,0.7243565833644162,0.07907497202536368,0.8650334075723831,0.09443207126948774
78,5,17,HC,1,5.4,1338.0,1344.0,1130.0,179.0,7,7,2,0.5011185682326622,0.42132736763609246,0.06674123788217748,0.8445440956651719,0.13378176382660686
79,5,17,HC,1,3.0,322.0,2376.0,322.0,0.0,2,1,0,0.8806523350630097,0.11934766493699037,0.0,1.0,0.0
80,5,7,HC,1,3.0,2244.0,435.0,1672.0,460.0,3,6,2,0.1623740201567749,0.624113475177305,0.17170586039567,0.7450980392156863,0.20499108734402852
81,5,7,HC,1,2.0,1933.0,750.0,1548.0,308.0,4,6,3,0.2795378307864331,0.5769660827431979,0.1147968691762952,0.8008277289187791,0.15933781686497672
82,5,7,HC,1,4.0,2391.0,251.0,2086.0,269.0,8,12,3,0.09500378501135504,0.789553368660106,0.10181680545041635,0.8724383103304056,0.11250522793810121
83,5,7,HC,1,5.1,2331.0,327.0,1843.0,331.0,4,12,4,0.12302483069977427,0.6933784800601956,0.12452972159518434,0.7906477906477907,0.141999141999142
84,5,7,HC,1,5.2,1115.0,1568.0,846.0,206.0,5,5,4,0.5844204248975028,0.31531867312709655,0.07677972418934029,0.758744394618834,0.18475336322869956
85,5,7,HC,1,5.3,1160.0,1524.0,925.0,176.0,4,5,3,0.5678092399403875,0.34463487332339793,0.06557377049180328,0.7974137931034483,0.15172413793103448
86,5,7,HC,1,5.4,812.0,1872.0,675.0,116.0,5,7,1,0.6974664679582713,0.25149031296572283,0.043219076005961254,0.8312807881773399,0.14285714285714285
87,5,7,HC,1,1.0,1227.0,1161.0,1200.0,0.0,5,5,0,0.4861809045226131,0.5025125628140703,0.0,0.9779951100244498,0.0
88,5,6,HC,1,2.0,2400.0,276.0,2117.0,283.0,10,10,4,0.1031390134529148,0.7911061285500748,0.10575485799701047,0.8820833333333333,0.11791666666666667
89,5,6,HC,1,1.0,581.0,2113.0,581.0,0.0,3,3,0,0.7843355605048256,0.21566443949517447,0.0,1.0,0.0
90,5,6,HC,1,3.0,1423.0,1260.0,1220.0,125.0,7,6,2,0.4696235557212076,0.45471487141259787,0.04658963846440552,0.8573436401967673,0.08784258608573436
91,5,6,HC,1,5.1,942.0,1745.0,766.0,93.0,5,5,1,0.6494231484927429,0.285076293263863,0.03461109043542985,0.8131634819532909,0.09872611464968153
92,5,6,HC,1,5.2,1299.0,1390.0,1169.0,109.0,4,5,1,0.5169207883971737,0.4347341018966158,0.0405355150613611,0.8999230177059276,0.08391070053887606
93,5,6,HC,1,5.3,1305.0,1344.0,1129.0,139.0,7,11,2,0.507361268403171,0.4261985654964137,0.05247263118157795,0.8651340996168583,0.10651340996168582
94,5,6,HC,1,5.4,1191.0,1497.0,1154.0,27.0,5,5,1,0.5569196428571429,0.42931547619047616,0.010044642857142858,0.9689336691855583,0.022670025188916875
95,5,6,HC,1,4.0,1862.0,898.0,1566.0,249.0,8,12,2,0.3253623188405797,0.5673913043478261,0.09021739130434783,0.841031149301826,0.13372717508055854
