,rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,event_strings
612,1,4,CON,4,5-3,9635,9691,TPT
613,4,1,OR,0,5-0,1457,1491,T
614,4,1,OR,0,5-0,1584,1672,TPTPTPTPT
615,4,1,OR,0,5-0,2291,2447,TPTPTPTPT
616,7,2,OR,3,3,2213,2325,TPTPT
617,13,4,OD,4,5-2,5394,5530,TPTPTPTPTPT
618,13,4,OD,4,5-2,6037,6066,T
619,13,4,OD,4,5-2,6132,6154,T
620,13,4,OD,4,5-2,6157,6161,T
621,6,3,HC,4,3,999,1007,T
622,6,3,HC,4,3,1267,1309,TPT
623,6,3,HC,4,3,1777,1944,TPTPTPTPTPTPT
624,6,3,HC,4,3,2672,2698,T
625,9,3,OR,2,1,2208,2304,TPT
626,4,3,OR,1,5-1,2940,3028,TPTPT
627,4,3,OR,1,5-1,3449,3501,T
628,4,3,OR,1,5-1,4140,4227,TPTPTPTPT
629,4,3,OR,1,5-1,4342,4383,T
630,13,4,OD,4,5-0,1781,1864,TPTPT
631,13,4,OD,4,5-0,2252,2391,T
632,7,1,HC,3,3,1160,1250,TPTPTPT
633,7,1,HC,3,3,1681,1698,T
634,7,1,HC,3,3,2051,2271,TPTPTPTPT
635,5,14,OR,0,3,1420,1504,TPT
636,5,14,OR,0,3,2084,2200,TPTPTPT
637,13,1,CON,4,5-3,9575,9697,TPTPT
638,13,1,CON,4,5-3,10135,10219,TPTPT
639,2,3,CON,2,5-3,8373,8381,T
640,2,3,CON,2,5-3,8389,8411,T
641,4,5,OD,3,1,1352,1387,T
642,4,5,OD,3,1,1645,1724,T
643,4,5,OD,3,1,2011,2157,TPTPTPTPTPT
644,4,5,OD,3,1,2351,2471,TPTPTPTPT
645,4,6,OD,0,2,2444,2557,TPTPT
646,4,7,HC,1,5-3,8332,8407,T
647,4,7,HC,1,5-3,8474,8508,PTPT
648,9,6,OD,2,4,1138,1193,T
649,9,6,OD,2,4,2144,2186,TPT
650,9,6,OD,2,4,2508,2649,TPTPTPTPT
651,2,4,HC,2,2,854,874,TPT
652,2,4,HC,2,2,986,1018,T
653,2,4,HC,2,2,1399,1459,TPTPT
654,2,4,HC,2,2,1519,1568,TPT
655,2,4,HC,2,2,1587,1697,TPTPTPTPTPT
656,2,4,HC,2,2,1722,1767,T
657,2,4,HC,2,2,2411,2423,T
658,4,3,CON,3,1,1625,1643,T
659,4,3,CON,3,1,1800,1838,T
660,4,3,CON,3,1,1972,2024,TPT
661,1,3,HC,4,5-0,940,1074,TPTPTPT
662,4,6,OD,4,5-2,5353,5477,TPTPTPT
663,4,6,OD,4,5-2,7673,7770,TPTPT
664,5,2,OR,0,1,2203,2292,TPT
665,1,4,CON,4,5-1,3376,3483,TPTPT
666,1,4,CON,4,5-1,4364,4414,TPTPT
667,1,4,CON,4,5-1,4451,4476,T
668,1,4,CON,4,5-1,4553,4563,T
669,2,2,OR,2,2,1047,1062,T
670,2,2,OR,2,2,1691,1733,TPT
671,2,2,OR,2,2,1998,2015,T
672,2,2,OR,2,2,2386,2404,T
673,4,6,OD,0,5-0,979,1189,PTPTPTPT
674,4,6,OD,0,5-0,2081,2195,TPTPTPTPT
675,4,6,OD,0,5-0,2235,2258,T
676,5,7,HC,1,4,844,874,TPT
677,5,7,HC,1,4,1549,1662,TPTPTPT
678,5,7,HC,1,4,1689,1815,TPT
679,3,6,HC,4,2,1865,1905,TPT
680,3,6,HC,4,2,1939,1986,TPT
681,3,6,HC,4,2,2515,2531,T
682,3,6,HC,4,2,2668,2702,TPT
683,9,10,OR,4,2,1161,1228,TPTPT
684,9,10,OR,4,2,1331,1350,T
685,9,10,OR,4,2,1541,1576,T
686,9,10,OR,4,2,1597,1623,TPTPT
687,9,10,OR,4,2,1909,1985,TPT
688,9,10,OR,4,2,2432,2524,TPTPTPT
689,6,10,OD,4,4,860,944,TPTPT
690,6,10,OD,4,4,1739,1794,TPT
691,6,10,OD,4,4,2321,2446,TPTPTPTPTPT
692,6,2,OR,2,5-3,8499,8524,T
693,6,2,OR,2,5-3,8615,8619,T
694,6,2,OR,2,5-3,8829,8927,TPTPT
695,6,2,OR,2,5-3,8961,9042,TPTPT
696,6,2,OR,2,5-3,9332,9421,TPTPT
697,3,9,HC,1,5-3,10446,10502,TPTPT
698,3,6,OD,1,3,1371,1407,TPT
699,3,6,OD,1,3,1452,1591,TPT
700,3,5,OR-N,4,5-1,3175,3348,TPTPTPTPTPT
701,3,5,OR-N,4,5-1,3760,3836,TPT
702,3,5,OR-N,4,5-1,3868,3982,TPTPTPTPT
703,5,4,HC,0,2,1171,1212,T
704,5,4,HC,0,2,1260,1370,TPTPT
705,5,4,HC,0,2,2892,2924,PTPT
706,5,16,OR,1,5-0,1246,1376,TPTPTPTPT
707,5,16,OR,1,5-0,2388,2510,TPTPTPTPT
708,5,7,HC,1,5-0,976,1135,TPTPTPTPT
709,5,7,HC,1,5-0,1633,1643,T
710,5,7,HC,1,5-0,1747,1904,TPT
711,3,5,HC,0,5-0,1105,1172,TPTPTPTP
712,3,5,HC,0,5-0,2405,2496,T
713,4,6,OD,4,4,764,925,T
714,4,6,OD,4,4,961,1117,TPTPTPTPTPTPTPT
715,4,6,OD,4,4,1937,2101,TPTPTPT
716,3,7,HC,1,5-3,8480,8603,TPTPTPT
717,3,7,HC,1,5-3,9632,9757,TPTPTPTPTPTPTPT
718,3,7,HC,1,5-3,10369,10389,TPT
719,3,7,HC,1,5-3,10609,10677,T
720,11,2,OD,4,5-3,8176,8191,T
721,11,2,OD,4,5-3,8214,8250,T
722,11,2,OD,4,5-3,8264,8289,TPTPT
723,11,2,OD,4,5-3,8342,8442,TPTPT
724,11,2,OD,4,5-3,8945,9010,T
725,11,2,OD,4,5-3,9226,9304,T
726,11,2,OD,4,5-3,9796,9862,TPTPTPT
727,11,2,OD,4,5-3,9895,9937,T
728,11,2,OD,4,5-3,10640,10649,T
729,2,4,HC,2,4,1033,1153,TPTPT
730,2,4,HC,2,4,1279,1317,T
731,2,4,HC,2,4,1711,1728,T
732,2,4,HC,2,4,1830,1834,T
733,2,4,HC,2,4,1936,2039,TPT
734,2,4,HC,2,4,2266,2307,T
735,4,6,OR,3,5-1,2787,2800,T
736,4,6,OR,3,5-1,2905,2939,T
737,4,6,OR,3,5-1,3050,3127,TPT
738,4,6,OR,3,5-1,3165,3259,TPTPT
739,4,6,OR,3,5-1,3268,3303,T
740,6,2,OD,4,2,740,773,T
741,6,2,OD,4,2,1253,1374,TPTPT
742,6,2,OD,4,2,2430,2472,TPTPT
743,1,4,CON,4,2,1886,1949,TPTPT
744,4,3,OR,1,5-2,6354,6530,TPTPTPTPTPT
745,5,5,OD,1,5-0,920,1041,T
746,5,5,OD,1,5-0,1681,1745,T
747,5,5,OD,1,5-0,2199,2239,TPTPT
748,5,5,OD,1,5-0,2265,2378,TPT
749,5,5,OD,1,5-0,2422,2439,T
750,6,5,OR,4,5-2,5432,5738,TPTPTPTPTPTPTPTPTPT
751,6,5,OR,4,5-2,6355,6381,T
752,6,5,OR,4,5-2,6451,6460,T
753,6,5,OR,4,5-2,6732,6874,TPTPTPTPT
754,6,5,OR,4,5-2,7246,7452,TPTPT
755,9,3,HC,4,5-2,5448,5496,TPTP
756,9,3,HC,4,5-2,5542,5644,TPTPTPT
757,9,3,HC,4,5-2,6090,6138,TPT
758,9,3,HC,4,5-2,6191,6257,TPT
759,9,3,HC,4,5-2,6513,6563,T
760,9,3,HC,4,5-2,6626,6653,T
761,1,2,OR,4,5-1,2718,2831,TPTPTPTPTPT
762,1,2,OR,4,5-1,2901,2917,T
763,1,2,OR,4,5-1,2960,3009,TPT
764,1,2,OR,4,5-1,3955,4014,TPT
765,1,2,OR,4,5-1,4100,4262,TPTPTPTPT
766,1,2,OR,4,5-1,4935,4984,T
767,13,3,OR,4,4,832,1019,TPTPTPT
768,13,3,OR,4,4,1629,1663,TPT
769,13,3,OR,4,4,1749,1898,TPTPTPTPTPTPTPTPT
770,4,5,HC,0,4,2375,2484,PTPTPT
771,4,6,OD,0,5-3,8317,8335,T
772,4,6,OD,0,5-3,8602,8719,TPTPTPT
773,8,1,HC,3,5-1,4343,4372,TPT
774,8,1,HC,3,5-1,4623,4674,TPT
775,8,1,HC,3,5-1,4699,4766,T
776,8,1,HC,3,5-1,4839,4873,TPT
777,4,1,OR,0,5-1,3706,3746,T
778,4,1,OR,0,5-1,4128,4229,TPTPT
779,4,7,HC,1,5-1,3094,3220,TPTPT
780,4,7,HC,1,5-1,4065,4220,TPTPTPTPT
781,4,7,HC,1,5-1,4778,4813,T
782,4,7,HC,1,5-1,5174,5295,TPTPTPT
783,1,4,CON,4,5-0,1378,1470,TPTPTPT
784,1,4,CON,4,5-0,2219,2366,TPTPT
785,1,4,CON,4,5-0,2372,2473,TPT
786,1,4,CON,4,5-0,2519,2570,T
787,1,5,OR-N,4,4,2601,2661,PTPTPT
788,7,2,OR,3,5-1,2677,2755,TPTPTPTPT
789,7,2,OR,3,5-1,3192,3312,TPTPTPTPTPT
790,7,2,OR,3,5-1,4042,4192,TPT
791,7,2,OR,3,5-1,4231,4326,TPTPT
792,4,16,OR,0,5-0,1394,1508,TPT
793,4,16,OR,0,5-0,2173,2179,T
794,4,16,OR,0,5-0,2374,2487,TPTPTPTPTPTPT
795,11,1,CON,4,2,1574,1724,TPTPTPTPTPT
796,11,1,CON,4,2,2093,2145,T
797,6,5,OR,4,5-1,2660,2974,TPTPTPTPTPTPT
798,6,5,OR,4,5-1,3571,3584,T
799,6,5,OR,4,5-1,3960,3972,T
800,6,5,OR,4,5-1,4096,4115,T
801,6,5,OR,4,5-1,4226,4260,T
802,6,5,OR,4,5-1,4576,4685,TPTPTPT
803,6,5,OR,4,5-1,4743,4781,T
804,6,5,OR,4,5-1,5312,5336,T
805,6,5,OR,4,5-1,5377,5395,T
806,3,3,HC,4,5-1,2866,3020,TPTPTPT
807,3,3,HC,4,5-1,4399,4415,T
808,3,3,HC,4,5-1,4505,4663,TPTPTPTPT
809,9,4,CON,2,5-2,6143,6301,TPTPTPTPTPT
810,9,4,CON,2,5-2,6723,6743,TPT
811,9,4,CON,2,5-2,7140,7178,T
812,9,4,CON,2,5-2,7405,7616,TPTPTPTPT
813,5,7,HC,1,2,1149,1214,TPTPTPTPT
814,5,7,HC,1,2,1882,2059,TPTPT
815,5,7,HC,1,2,2632,2698,T
816,9,1,HC,2,5-3,9394,9419,PT
817,9,1,HC,2,5-3,9796,9863,TPT
818,9,1,HC,2,5-3,10181,10230,TPT
819,6,3,HC,4,5-0,800,941,TPTPTPTPT
820,6,4,CON,4,5-0,1226,1517,TPTPTPTPTPT
821,6,4,CON,4,5-0,2185,2384,TPTPTPTPTPTPTPT
822,6,4,OD,2,3,1948,1960,T
823,6,4,OD,2,3,2032,2122,TPTPT
824,5,1,OR,1,3,1890,1902,T
825,5,1,OR,1,3,1905,1961,TPTPTPT
826,11,4,OR,4,5-1,2536,2800,TPTPTPTPTPT
827,11,4,OR,4,5-1,3288,3308,T
828,11,4,OR,4,5-1,3350,3489,TPTPTPTPT
829,11,4,OR,4,5-1,3530,3569,T
830,11,4,OR,4,5-1,4460,4473,T
831,11,4,OR,4,5-1,4632,4679,T
832,11,4,OR,4,5-1,4719,4927,TPTPTPT
833,11,4,OR,4,5-1,5201,5206,T
834,9,6,OD,2,5-0,1328,1364,T
835,9,6,OD,2,5-0,1646,1751,TPTPT
836,9,6,OD,2,5-0,2103,2113,T
837,9,16,OR-N,4,5-1,2790,2919,TPTPTPTPT
838,9,16,OR-N,4,5-1,2973,3043,TPT
839,9,16,OR-N,4,5-1,3684,3776,TPTPT
840,9,16,OR-N,4,5-1,4482,4524,T
841,9,16,OR-N,4,5-1,4714,4860,TPTPTPTPT
842,3,9,HC,1,4,1651,1791,TPTPTPTPT
843,3,9,HC,1,4,2304,2366,T
844,4,3,OR,1,4,1290,1435,TPTPTPTPT
845,5,3,OD,0,3,995,1107,TPTPT
846,11,1,CON,4,3,846,897,TPT
847,11,1,CON,4,3,1206,1415,TPTPTPTPTPT
848,11,1,CON,4,3,1986,2010,T
849,11,1,CON,4,3,2360,2525,TPTPTPTPTPTP
850,3,5,CON,3,2,1272,1314,TPTPT
851,3,5,CON,3,2,1806,1965,TPTPTPTPT
852,5,5,OD,1,5-1,2932,2946,TPT
853,5,5,OD,1,5-1,3052,3077,T
854,5,5,OD,1,5-1,3135,3260,TPTPTPTPT
855,4,9,HC,0,4,1001,1110,TPTPT
856,4,9,HC,0,4,1946,2032,TPTPTPT
857,4,9,HC,0,4,2561,2719,TPTPTPTPTPTP
858,3,2,CON,4,4,1164,1195,TPT
859,3,2,CON,4,4,1272,1373,TPTPTP
860,3,2,CON,4,4,1395,1455,T
861,3,2,CON,4,4,2100,2170,TPTPT
862,1,4,HC,2,5-1,4974,4978,T
863,1,4,HC,2,5-1,5281,5366,TPTPTPT
864,13,11,OR-N,4,5-3,8581,8657,TPT
865,4,2,HC,4,5-0,669,678,T
866,4,2,HC,4,5-0,708,863,TPTPTPT
867,4,2,HC,4,5-0,1639,1731,TPTPTPT
868,4,2,HC,4,5-0,1764,1829,TPTPTPT
869,4,2,HC,4,5-0,1932,1969,T
870,7,2,OR,3,5-2,6831,6885,TPT
871,7,2,OR,3,5-2,7213,7289,TPTPTPT
872,9,2,CON,4,5-1,2937,2989,TPTPT
873,9,2,CON,4,5-1,3221,3258,T
874,9,2,CON,4,5-1,3617,3637,T
875,9,2,CON,4,5-1,3701,3837,TPTPTPT
876,1,4,HC,2,4,786,791,TP
877,1,4,HC,2,4,999,1207,TPTPT
878,1,4,HC,2,4,1851,1880,TPT
879,1,4,HC,2,4,2274,2364,TPTPTPTPTPT
880,1,4,HC,2,4,2400,2412,T
881,1,4,HC,2,4,2459,2468,T
882,1,4,HC,2,4,2478,2526,T
883,9,3,OR,2,4,821,997,TPT
884,9,3,OR,2,4,1602,1612,T
885,9,3,OR,2,4,1958,2148,TPTPTPTPTPT
886,4,3,OR,4,3,1748,1856,TPTPT
887,4,3,OR,4,3,2545,2565,T
888,6,1,HC,4,4,921,1068,TPTPTPTPTPT
889,6,1,HC,4,4,1477,1488,TPT
890,6,1,HC,4,4,1509,1651,TPT
891,6,1,HC,4,4,2401,2435,TPT
892,7,5,OD,3,4,1367,1515,TPTPTPTPTPT
893,7,5,OD,3,4,2366,2383,T
894,3,17,HC,0,5-1,3561,3649,TPT
895,9,4,OD,4,5-1,2958,3053,TPTPTPTPT
896,9,4,OD,4,5-1,3759,3837,TPTPT
897,9,4,OD,4,5-1,3859,4033,TPTPTPTPT
898,9,4,OD,4,5-1,5114,5156,T
899,4,6,OD,4,5-1,2859,2908,T
900,4,6,OD,4,5-1,3515,3640,TPTPTPT
901,4,6,OD,4,5-1,3851,3927,TPT
902,4,6,OD,4,5-1,4447,4469,TPT
903,4,6,OD,4,5-1,4501,4561,TP
904,1,4,HC,2,5-0,1375,1389,T
905,1,4,HC,2,5-0,1532,1645,TPTPTPTPT
906,1,4,HC,2,5-0,2002,2023,T
907,1,4,HC,2,5-0,2634,2664,TPT
908,1,2,OD,2,5-0,998,1009,TPT
909,1,2,OD,2,5-0,1267,1371,TPTPTPT
910,1,2,OD,2,5-0,1656,1677,T
911,1,2,OD,2,5-0,1972,2034,TPT
912,7,3,CON,3,5-0,1354,1380,T
913,7,3,CON,3,5-0,1539,1614,TPT
914,7,3,CON,3,5-0,2139,2217,TPTPT
915,7,3,CON,3,5-0,2505,2592,TPT
916,7,1,HC,3,2,1465,1522,TPTPT
917,7,1,HC,3,2,2124,2178,TPTPT
918,7,1,HC,3,2,2590,2699,TPTPT
919,3,6,HC,4,5-1,3161,3323,TPTPTPTPTPTPT
920,3,6,HC,4,5-1,4299,4358,T
921,9,3,HC,4,2,996,1010,T
922,9,3,HC,4,2,1075,1171,TPTPTPT
923,9,3,HC,4,2,1216,1225,T
924,9,3,HC,4,2,1407,1429,TPT
925,9,3,HC,4,2,1669,1736,TP
926,9,3,HC,4,2,1747,1826,TPTPT
927,9,3,HC,4,2,1877,1959,TPT
928,9,3,HC,4,2,2186,2216,T
929,9,3,HC,4,2,2437,2477,TPTPT
930,9,3,HC,4,2,2533,2681,TPTPTPTPTPT
931,6,2,OD,4,1,1834,1959,TPTPT
932,4,6,OD,0,3,1238,1247,T
933,4,6,OD,0,3,1509,1600,TPTPTPTPT
934,4,6,OD,0,3,2106,2249,TPTPT
935,8,4,CON,3,5-2,6031,6185,TPTPTPTPTPT
936,8,4,CON,3,5-2,7172,7254,TPT
937,8,4,CON,3,5-2,7477,7524,T
938,6,1,HC,2,5-3,10134,10161,T
939,6,1,HC,4,3,1704,1836,TPTPT
940,6,1,HC,4,3,2413,2485,TPTPT
941,5,17,HC,1,5-1,3774,3938,TPTPT
942,5,17,HC,1,5-1,4807,4901,TPTPT
943,4,7,HC,1,5-0,2184,2340,TPTPTPTPTPT
944,3,1,OR,1,5-2,7703,7803,TPTPTPT
945,4,2,HC,4,5-1,3027,3042,PT
946,4,2,HC,4,5-1,3055,3150,T
947,4,2,HC,4,5-1,3163,3345,T
948,4,2,HC,4,5-1,3385,3611,TPTPTPTPTPT
949,4,2,HC,4,5-1,3684,3714,T
950,4,2,HC,4,5-1,4187,4317,T
951,4,2,HC,4,5-1,5005,5135,TPTPTPTPTPT
952,1,4,CON,4,1,2165,2250,TPTPTPT
953,3,4,OD,4,5-2,8025,8044,T
954,5,8,HC,0,2,411,496,TPTPTPTPT
955,5,8,HC,0,2,1564,1620,TPTPTPT
956,5,8,HC,0,2,1625,1709,TPT
957,5,8,HC,0,2,2480,2653,TPTPT
958,3,4,OD,4,5-0,1317,1464,TPTPTPT
959,3,4,OD,4,5-0,1500,1559,TPTPT
960,3,4,OD,4,5-0,1938,2015,TPTPTP
961,3,5,OR-N,4,4,2209,2296,TPTPT
962,3,5,OR-N,4,4,2343,2404,T
963,6,4,OD,2,5-2,8059,8085,T
964,2,4,HC,2,5-0,750,766,T
965,2,4,HC,2,5-0,948,963,T
966,2,4,HC,2,5-0,1138,1183,TPTPT
967,4,5,OD,3,3,686,694,T
968,4,5,OD,3,3,884,963,TPTP
969,4,5,OD,3,3,978,1004,T
970,4,5,OD,3,3,1201,1316,TPTPTPT
971,4,5,OD,3,3,1326,1390,TPT
972,4,5,OD,3,3,1706,1730,T
973,4,5,OD,3,3,2091,2116,PT
974,4,5,OD,3,3,2172,2307,TPTPTPTPT
975,4,5,OD,3,3,2316,2352,TPT
976,4,5,OD,3,3,2384,2399,T
977,6,3,HC,4,5-1,2745,2881,TPTPTPTPT
978,6,3,HC,4,5-1,3440,3635,TPTPTPTPTPT
979,6,3,HC,4,5-1,3679,3733,T
980,6,3,HC,4,5-1,4277,4423,TPTPTPTPTPT
981,6,3,HC,4,5-1,4467,4493,T
982,4,3,OR,1,5-0,1589,1616,T
983,4,3,OR,1,5-0,1953,2100,TPTPTPT
984,6,3,CON,2,5-3,10204,10377,TPTPTPTPTPT
985,6,3,CON,2,5-3,10669,10718,T
986,5,6,HC,1,5-3,8467,8494,T
987,6,4,CON,4,5-3,8016,8130,TPT
988,6,4,CON,4,5-3,9398,9433,T
989,4,9,HC,0,3,1599,1722,TPTPTPT
990,5,6,HC,1,5-1,3713,3822,TPTPTPTPT
991,11,2,OD,4,2,668,756,TPT
992,11,2,OD,4,2,1510,1653,TPTPT
993,11,2,OD,4,2,2263,2288,T
994,11,2,OD,4,2,2619,2695,TPTPTPTP
995,2,4,HC,2,5-1,3073,3090,T
996,2,4,HC,2,5-1,3118,3196,TPT
997,2,4,HC,2,5-1,3281,3291,T
998,2,4,HC,2,5-1,3302,3312,T
999,2,4,HC,2,5-1,3574,3614,T
1000,2,4,HC,2,5-1,3883,3970,TPT
1001,2,4,HC,2,5-1,3991,4010,T
1002,2,4,HC,2,5-1,4496,4550,TPTPTPT
1003,2,4,HC,2,5-1,4833,4840,T
1004,2,4,HC,2,5-1,5041,5133,TPTPTPT
1005,5,5,OD,1,2,1452,1477,TPTPTPT
1006,5,5,OD,1,2,1957,2026,T
1007,6,6,HC,4,1,427,551,TPTPTPT
1008,6,6,HC,4,1,806,878,TPTPT
1009,6,6,HC,4,1,1495,1499,T
1010,6,6,HC,4,1,1675,1706,T
1011,6,6,HC,4,1,1721,1801,TPTPT
1012,6,6,HC,4,1,1817,1866,TPTPTPT
1013,6,6,HC,4,1,1887,2052,TPTPT
1014,6,6,HC,4,1,2064,2106,T
1015,3,17,HC,0,5-0,697,774,TPT
1016,3,17,HC,0,5-0,812,822,T
1017,3,17,HC,0,5-0,865,943,T
1018,3,17,HC,0,5-0,2218,2301,TPTPTPT
1019,9,3,HC,4,5-0,1058,1122,T
1020,9,3,HC,4,5-0,1565,1620,T
1021,9,3,HC,4,5-0,1681,1701,T
1022,9,3,HC,4,5-0,2058,2120,TPTPTPTPT
1023,9,3,HC,4,5-0,2141,2190,TPT
1024,9,3,HC,4,5-0,2214,2266,TPTPTPT
1025,9,3,HC,4,5-0,2285,2355,T
1026,9,4,OD,4,4,535,584,TPTP
1027,9,4,OD,4,4,597,771,TPT
1028,9,4,OD,4,4,1681,1740,T
1029,9,4,OD,4,4,1769,1926,TPTPTPTPTPTPT
1030,9,4,OD,4,4,1943,2035,TPT
1031,9,4,OD,4,4,2686,2697,T
1032,1,4,CON,4,3,1209,1230,TPT
1033,1,4,CON,4,3,1243,1301,T
1034,1,4,CON,4,3,1352,1371,T
1035,1,4,CON,4,3,1379,1409,T
1036,1,4,CON,4,3,2063,2085,TPT
1037,1,4,CON,4,3,2098,2179,TPTPT
1038,1,4,CON,4,3,2191,2238,TPT
1039,4,2,HC,4,5-2,7961,7976,T
1040,4,3,CON,3,5-0,723,802,TPTPT
1041,4,3,CON,3,5-0,1078,1086,T
1042,4,3,CON,3,5-0,1267,1278,T
1043,4,3,CON,3,5-0,1306,1323,T
1044,4,3,CON,3,5-0,1387,1524,TPTPT
1045,4,3,CON,3,5-0,1589,1596,T
1046,4,3,CON,3,5-0,2211,2284,TPT
1047,4,3,CON,3,5-0,2478,2596,TPTPTPTPTPTPTPT
1048,1,3,HC,4,4,623,696,TPT
1049,1,3,HC,4,4,1576,1647,TPT
1050,1,3,HC,4,4,1783,1822,T
1051,8,2,OR,3,2,2282,2353,TPT
1052,6,10,OD,4,5-3,8139,8151,T
1053,6,10,OD,4,5-3,8372,8425,T
1054,6,10,OD,4,5-3,8490,8494,T
1055,4,6,OR,3,3,649,688,T
1056,4,6,OR,3,3,1028,1098,TPT
1057,4,6,OR,3,3,1541,1547,T
1058,4,6,OR,3,3,1582,1646,T
1059,4,6,OR,3,3,1675,1711,PT
1060,4,6,OR,3,3,1885,1914,T
1061,4,6,OR,3,3,1995,2024,TPT
1062,4,6,OR,3,3,2128,2227,TPTPTPTPT
1063,4,6,OR,3,3,2232,2243,T
1064,4,6,OR,3,3,2248,2267,T
1065,4,6,OR,3,3,2541,2560,TPT
1066,7,3,CON,3,3,1370,1492,TPTPT
1067,7,3,CON,3,3,1546,1558,T
1068,7,3,CON,3,3,2237,2303,T
1069,8,2,OR,3,3,1659,1698,T
1070,8,2,OR,3,3,2102,2208,TPT
1071,8,2,OR,3,3,2287,2419,TPTPTPTPT
1072,3,5,CON,3,1,1714,1723,T
1073,3,5,CON,3,1,1900,1985,T
1074,3,5,CON,3,1,2449,2454,TP
1075,3,6,OD,1,5-2,5543,5638,T
1076,3,6,OD,1,5-2,5920,5971,T
1077,3,6,OD,1,5-2,6108,6134,T
1078,3,6,OD,1,5-2,6496,6534,TPTPTPTPT
1079,3,6,OD,1,5-2,6815,6824,T
1080,3,6,OD,1,5-2,7366,7380,T
1081,1,5,OR-N,4,5-2,6251,6255,T
1082,1,5,OR-N,4,5-2,6627,6792,TPTPTPTPT
1083,1,5,OR-N,4,5-2,7555,7674,TPTPTPTPT
1084,1,5,OR-N,4,5-2,7696,7774,T
1085,9,2,CON,4,5-3,8436,8446,T
1086,5,2,OR,0,5-1,2608,2794,TPTPTPT
1087,4,5,HC,0,5-2,5351,5418,T
1088,4,5,HC,0,5-2,6388,6440,TPTPTPT
1089,4,5,HC,0,5-2,7623,7638,T
1090,6,10,OD,4,5-2,5403,5464,TPTPTPT
1091,6,10,OD,4,5-2,6178,6232,T
1092,6,10,OD,4,5-2,6586,6776,TPTPTPTPT
1093,6,10,OD,4,5-2,7238,7293,TPT
1094,6,10,OD,4,5-2,7317,7501,TPTPTPTPTPT
1095,6,10,OD,4,5-2,7523,7590,T
1096,4,8,HC,1,5-2,5618,5690,TPT
1097,4,8,HC,1,5-2,7076,7221,TPTPTPT
1098,4,8,HC,1,5-2,7543,7576,T
1099,4,8,HC,1,5-2,7827,7880,T
1100,4,9,HC,0,5-2,7028,7106,TPTPT
1101,1,5,OR-N,4,5-0,1738,1758,T
1102,1,5,OR-N,4,5-0,2483,2525,TPT
1103,9,3,HC,4,1,545,598,T
1104,9,3,HC,4,1,647,688,TPT
1105,9,3,HC,4,1,935,1004,TPT
1106,9,3,HC,4,1,1336,1473,TPTPTPTP
1107,1,2,OR,4,5-0,1538,1607,TPT
1108,9,4,OD,4,5-2,5294,5531,TPTPTPTPTPTPTPTPT
1109,9,4,OD,4,5-2,7392,7487,T
1110,5,6,HC,1,5-2,6707,6725,T
1111,5,6,HC,1,5-2,7510,7631,TPTPTPTPTPT
1112,4,4,OD,1,5-2,6072,6237,TPTPTPTPTPT
1113,4,4,OD,1,5-2,6502,6566,T
1114,4,4,OD,1,5-2,7168,7196,TPT
1115,4,4,OD,1,5-2,7602,7725,PTPTPTPTPT
1116,4,4,OD,1,5-2,8007,8079,T
1117,3,16,OR,1,5-1,3799,3861,TPTPTPT
1118,3,16,OR,1,5-1,4542,4570,T
1119,7,3,CON,3,4,944,1023,TPTPT
1120,7,3,CON,3,4,1479,1629,TPTPTPT
1121,7,3,CON,3,4,2206,2401,TPTPTPTPT
1122,4,3,CON,3,5-3,8563,8591,T
1123,4,3,CON,3,5-3,8676,8780,TPTPTPT
1124,4,3,CON,3,5-3,9241,9249,T
1125,4,3,CON,3,5-3,9649,9657,T
1126,4,1,CON,4,3,830,847,T
1127,4,1,CON,4,3,1164,1303,TPTPTPTPTPTPT
1128,4,1,CON,4,3,1332,1449,TPTPT
1129,4,1,CON,4,3,2118,2230,TPTPTPTPT
1130,4,1,CON,4,3,2280,2376,TPT
1131,6,5,OR,4,3,1699,1765,TPTPT
1132,6,5,OR,4,3,2086,2209,TPTPTPTPT
1133,1,1,OD,4,5-3,8628,8732,TPTPTPTPTPT
1134,1,1,OD,4,5-3,10204,10485,TPTPTPT
1135,2,2,OR,2,3,1757,1829,T
1136,2,2,OR,2,3,2063,2126,TPTPT
1137,2,2,OR,2,3,2466,2550,TPTPT
1138,7,3,CON,3,5-3,8346,8353,T
1139,7,3,CON,3,5-3,8554,8594,TPT
1140,2,1,OD,2,5-3,9506,9513,T
1141,7,5,OD,3,5-1,2815,2929,TPTPT
1142,7,5,OD,3,5-1,2970,2994,T
1143,7,5,OD,3,5-1,3399,3473,TPTPT
1144,7,5,OD,3,5-1,3975,4063,PTPTP
1145,7,5,OD,3,5-1,4584,4603,T
1146,7,5,OD,3,5-1,4927,4994,TPTPT
1147,11,1,CON,4,1,1848,1855,T
1148,11,1,CON,4,1,2195,2218,T
1149,11,1,CON,4,1,2365,2388,TPT
1150,3,7,HC,1,3,1929,2052,TPTPT
1151,3,7,HC,1,3,2133,2161,T
1152,9,1,HC,2,2,1191,1244,PTPT
1153,9,1,HC,2,2,2405,2444,TPT
1154,4,2,HC,0,3,1904,1922,T
1155,5,2,OR,0,2,1659,1759,TPTPTPT
1156,5,2,OR,0,2,2357,2384,T
1157,3,1,OR,4,5-0,1794,1809,T
